Date,tipo_cambio
2022-05-25,"19,842,699"
2022-05-26,"19,818,199"
2022-05-27,"197,519"
2022-05-30,19.57
2022-05-31,"195,313"
2022-06-01,"19,648,741"
2022-06-02,"1,971,306"
2022-06-03,"19,527,901"
2022-06-06,"19,545,219"
2022-06-07,"195,553"
2022-06-08,"195,767"
2022-06-09,"19,587,099"
2022-06-10,"196,763"
2022-06-13,"20,019,461"
2022-06-14,"20,466,801"
2022-06-15,"20,560,659"
2022-06-16,"20,222,151"
2022-06-17,"203,972"
2022-06-20,"2,029,431"
2022-06-21,"20,268,499"
2022-06-22,"20,136,999"
2022-06-23,"200,495"
2022-06-24,"20,009,899"
2022-06-27,"19,892,559"
2022-06-28,"19,902,901"
2022-06-29,"20,146,601"
2022-06-30,"2,013,036"
2022-07-01,"20,102,949"
2022-07-04,"202,502"
2022-07-05,"202,684"
2022-07-06,"205,229"
2022-07-07,"206,411"
2022-07-08,"20,493,999"
2022-07-11,"204,627"
2022-07-12,"20,721,201"
2022-07-13,"20,866,461"
2022-07-14,"207,908"
2022-07-15,"20,805,889"
2022-07-18,"20,499,599"
2022-07-19,"20,445,021"
2022-07-20,"205,198"
2022-07-21,"20,542,101"
2022-07-22,"206,541"
2022-07-25,"20,534,599"
2022-07-26,"20,450,701"
2022-07-27,"20,453,699"
2022-07-28,"20,373,301"
2022-07-29,"202,812"
2022-08-01,"203,745"
2022-08-02,"20,383,499"
2022-08-03,"20,810,909"
2022-08-04,"20,492,701"
2022-08-05,"203,237"
2022-08-08,"204,214"
2022-08-09,"20,240,601"
2022-08-10,20.24
2022-08-11,"200,151"
2022-08-12,"19,933,201"
2022-08-15,"1,985,363"
2022-08-16,"198,083"
2022-08-17,"1,990,354"
2022-08-18,"199,704"
2022-08-19,"20,130,159"
2022-08-22,"20,189,051"
2022-08-23,"201,269"
2022-08-24,"19,983,681"
2022-08-25,"19,902,599"
2022-08-26,"199,191"
2022-08-29,"20,067,801"
2022-08-30,"199,848"
2022-08-31,"201,273"
2022-09-01,"20,186,661"
2022-09-02,"20,166,901"
2022-09-05,"19,970,501"
2022-09-06,"19,965,599"
2022-09-07,"201,315"
2022-09-08,"199,818"
2022-09-09,"199,335"
2022-09-12,"198,591"
2022-09-13,"19,830,021"
2022-09-14,"200,319"
2022-09-15,"19,951,599"
2022-09-16,"20,080,999"
2022-09-19,"2,003,022"
2022-09-20,"19,903,099"
2022-09-21,"19,976,299"
2022-09-22,"200,441"
2022-09-23,"19,919,201"
2022-09-26,"2,021,126"
2022-09-27,"20,370,741"
2022-09-28,"20,368,629"
2022-09-29,"2,018,495"
2022-09-30,"20,124,559"
2022-10-03,"2,011,739"
2022-10-04,"20,006,701"
2022-10-05,"19,965,191"
2022-10-06,"200,338"
2022-10-07,"201,001"
2022-10-10,"200,298"
2022-10-11,"199,403"
2022-10-12,"20,065,559"
2022-10-13,"199,732"
2022-10-14,"199,757"
2022-10-17,"200,159"
2022-10-18,"199,718"
2022-10-19,"200,189"
2022-10-20,"20,127,411"
2022-10-21,"20,042,761"
2022-10-24,"19,932,501"
2022-10-25,"199,081"
2022-10-26,"198,666"
2022-10-27,"19,943,029"
2022-10-28,"19,840,309"
2022-10-31,"198,202"
2022-11-01,"197,932"
2022-11-02,"19,724,899"
2022-11-03,"196,784"
2022-11-04,"19,670,271"
2022-11-07,"1,956,336"
2022-11-08,"194,431"
2022-11-09,"19,537,621"
2022-11-10,"19,562,099"
2022-11-11,"1,931,551"
2022-11-14,"19,514,429"
2022-11-15,"19,339,199"
2022-11-16,"193,412"
2022-11-17,"1,933,334"
2022-11-18,"193,999"
2022-11-21,"19,443,199"
2022-11-22,"19,531,601"
2022-11-23,"1,944,191"
2022-11-24,"19,334,999"
2022-11-25,"193,813"
2022-11-28,"1,934,354"
2022-11-29,"19,296,301"
2022-11-30,"19,232"
2022-12-01,"19,264,851"
2022-12-02,"191,283"
2022-12-05,"1,938,299"
2022-12-06,"19,721,399"
2022-12-07,"197,544"
2022-12-08,"19,666,901"
2022-12-09,"19,621,559"
2022-12-12,"19,786,699"
2022-12-13,"198,473"
2022-12-14,"19,542,021"
2022-12-15,"196,094"
2022-12-16,"19,749,599"
2022-12-19,"19,796,909"
2022-12-20,"197,876"
2022-12-21,"197,542"
2022-12-22,"1,965,959"
2022-12-23,"195,595"
2022-12-26,"19,337,391"
2022-12-27,"1,936,307"
2022-12-28,"19,462,099"
2022-12-29,"194,223"
2022-12-30,"194,576"
2023-01-02,"194,466"
2023-01-03,"19,458,799"
2023-01-04,"194,076"
2023-01-05,"19,386,801"
2023-01-06,"1,931,855"
2023-01-09,"191,243"
2023-01-10,"191,245"
2023-01-11,"19,059,601"
2023-01-12,"189,424"
2023-01-13,"18,844,311"
2023-01-16,"187,742"
2023-01-17,"18,777,901"
2023-01-18,"186,415"
2023-01-19,"1,887,406"
2023-01-20,"189,827"
2023-01-23,"18,857,771"
2023-01-24,"18,813,259"
2023-01-25,"187,836"
2023-01-26,"18,776,199"
2023-01-27,"187,967"
2023-01-30,"18,768,749"
2023-01-31,"187,586"
2023-02-01,"18,842,871"
2023-02-02,"18,582,899"
2023-02-03,"18,641,399"
2023-02-06,"1,899,087"
2023-02-07,"19,167,999"
